"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"2",NA,13580,"Kora Kora",-0.6097,39.7807,"UNKNOWN","Kenya","KEN","Africa",5,1994,5,1994,0,6,270,36,0.1333,"P. falciparum","Microscopy","",NA,"true","true",""," (1994). <i>Vitamin A deficiency in Kenya: A report of the national micronutrients survey, 1994.</i> . Nairobi. UNICEF. 1-89","",""
"5",NA,8231,"Ulutya Primary School",-0.9724,37.6902,"RURAL","Kenya","KEN","Africa",10,2009,10,2009,5,17,109,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"8",NA,22331,"Cluster 12",-3.8442,39.7527,"UNKNOWN","Kenya","KEN","Africa",5,2009,5,2009,0.6,8,11,2,0.1818,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"10",NA,16507,"Langata Road Primary School",-1.3149,36.8112,"URBAN","Kenya","KEN","Africa",7,2009,7,2009,4,15,93,2,0.0215,"P. falciparum","RDT","Unknown",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"15",NA,4231,"Rarieda Primary School",-0.1953,34.3398,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,48,0.4364,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"17",NA,16953,"Kilifi Township",-3.6154,39.8448,"URBAN","Kenya","KEN","Africa",3,1995,3,1995,0,4,168,107,0.6369,"P. falciparum","Microscopy","",NA,"true","true","","Marsh, K., . (1995) personal communication.","",""
"20",NA,13674,"Komolo",0.0892,34.279,"RURAL","Kenya","KEN","Africa",7,1995,7,1995,0,9,133,111,0.8346,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W., . (1997) personal communication.",""
"22",NA,7780,"Kinze B & C",-1.9391,37.526,"UNKNOWN","Kenya","KEN","Africa",8,2000,8,2004,0.1,4,27,1,0.037,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"27",NA,13602,"Emensa sub-location",-0.9119,34.8047,"UNKNOWN","Kenya","KEN","Africa",5,2000,5,2000,0,14,72,4,0.0556,"P. falciparum","RDT","ICT Malaria Dual Test ML03",NA,"true","true","","Zurovac, D., . (2000) personal communication.","",""
"28",NA,12652,"Mwangoni Primary School",-4.0742,39.1835,"UNKNOWN","Kenya","KEN","Africa",9,2008,9,2008,5,15,110,4,0.0364,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"29",NA,480,"Shariani",-3.7897,39.8211,"UNKNOWN","Kenya","KEN","Africa",5,1998,5,1998,6,12,100,54,0.54,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42","",""
"30",NA,7503,"Cluster 16",-0.799,34.7628,"UNKNOWN","Kenya","KEN","Africa",7,2000,7,2000,1,75,120,32,0.2667,"P. falciparum","RDT","ICT Diagnostics Malaria P.f. ML01",NA,"true","true","","Guyatt, H.L., Corlett, S.K., Robinson, T.P., Ochola, S.A. and Snow, R.W. (2002).  <b>Malaria prevention in highland Kenya: indoor residual house-spraying vs. insecticide-treated bednets.</b> <i>Tropical Medicine & International Health</i>, <b>7</b>(4):298-303","Snow, RW, . (2002) personal communication.",""
"31",NA,16283,"Jego Primary School",-4.6438,39.1869,"UNKNOWN","Kenya","KEN","Africa",10,2008,10,2008,5,15,111,14,0.1261,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306","",""
"32",NA,10837,"Atemo Primary School",-0.135,34.3691,"RURAL","Kenya","KEN","Africa",7,2006,7,2006,5,14,10,5,0.5,"P. falciparum","Microscopy","",NA,"true","true","","Montgomery, S.R., Muok, EM, Mwinzi, PN, Williamson, JM, Secor, WE and Karanja, DM (2008). <i>Estimation of attributable risk of anemia due to schistosomiasis in western Kenya.</i> In: Abstract Book American Society of Tropical Medicine and Hygiene 57th Annual Meeting. New Orleans. .","Montgomery, SR, . (2009) personal communication.",""
"33",NA,4430,"Ziani",-3.7529,39.7135,"UNKNOWN","Kenya","KEN","Africa",6,1995,6,1995,0,9,56,27,0.4821,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W., . (1997) personal communication.",""
"34",NA,11893,"King'Ang'I",-2,37.6804,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.6,5,16,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"35",NA,2279,"Kimase Primary School",-0.6928,35.1054,"UNKNOWN","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"38",NA,5681,"Kwale",-4.1833,39.45,"URBAN","Kenya","KEN","Africa",6,1996,6,1996,5,14,144,12,0.0833,"P. falciparum","Microscopy","",NA,"true","true","","Tosha, S.B. (1996). <i>Not found in the legacy system.</i> . Nairobi. Division of Vector-Borne Diseases, Ministry of Health. ","",""
"39",NA,13521,"Ziwani",-4.1553,39.4541,"RURAL","Kenya","KEN","Africa",5,1998,5,1998,6,12,100,59,0.59,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42","",""
"40",NA,12500,"Ongielo Primary School",-0.1737,34.3794,"UNKNOWN","Kenya","KEN","Africa",11,1998,11,1998,12,18,21,7,0.3333,"P. falciparum","Microscopy","",NA,"true","true","","Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T., . (2009) personal communication.",""
"41",NA,9120,"Nyatemba Beach",-0.4742,34.2874,"UNKNOWN","Kenya","KEN","Africa",4,2002,4,2002,1,12,102,55,0.5392,"P. falciparum","Microscopy","",NA,"true","true","","Okech, B.A. (2004). <i>Environmental factors affecting the development of <i>Plasmodium falciparum</i> in <i>Anopheles</i> gambaie mosquitoes.</i> UNKNOWN. . .","",""
"43",NA,4231,"Rarieda Primary School",-0.1953,34.3398,"RURAL","Kenya","KEN","Africa",8,2006,11,2006,5,14,74,30,0.4054,"P. falciparum","Microscopy","",NA,"true","true","","Montgomery, S.R., Muok, EM, Mwinzi, PN, Williamson, JM, Secor, WE and Karanja, DM (2008). <i>Estimation of attributable risk of anemia due to schistosomiasis in western Kenya.</i> In: Abstract Book American Society of Tropical Medicine and Hygiene 57th Annual Meeting. New Orleans. .","Montgomery, SR, . (2009) personal communication.",""
"51",NA,17635,"Mtezo Mwema",-3.5226,39.8639,"UNKNOWN","Kenya","KEN","Africa",3,1990,9,1991,0,4,6,3,0.5,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"54",NA,6940,"Lomut",1.4112,35.6304,"UNKNOWN","Kenya","KEN","Africa",6,1986,6,1986,0,99,103,14,0.1359,"P. falciparum","Microscopy","",NA,"true","true","","Mutero, C.M., Mutinga, M.J., Ngindu, A.M., Kenya, P.R. and Amimo, F.A. (1992).  <b>Visceral leishmaniasis and malaria prevalence in West Pokot District, Kenya.</b> <i>East African Medical Journal</i>, <b>69</b>(1):3-8","",""
"57",NA,11498,"Vyogato",-4.2168,39.2674,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.1,5,16,16,1,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
